v8-version,6,2,414,66,0
code-creation,Stub,3,3507,0x1a7d5ed91560,2075,"RecordWriteStub"
code-creation,Stub,3,3508,0x1a7d5ed91de0,2100,"RecordWriteStub"
code-creation,Stub,3,3508,0x1a7d5ed92680,363,"ArraySingleArgumentConstructorStub"
code-creation,Handler,4,3509,0x1a7d5ed92860,180,"An IC handler from the snapshot"
code-creation,Stub,3,3510,0x1a7d5ed92980,2072,"RecordWriteStub"
code-creation,Handler,4,3511,0x1a7d5ed93200,180,"An IC handler from the snapshot"
code-creation,Stub,3,3512,0x1a7d5ed93320,876,"RecordWriteStub"
code-creation,Stub,3,3512,0x1a7d5ed93700,2122,"RecordWriteStub"
code-creation,Stub,3,3532,0x1a7d5ed93fc0,884,"RecordWriteStub"
code-creation,Stub,3,3533,0x1a7d5ed943a0,87,"DoubleToIStub"
code-creation,Stub,3,3533,0x1a7d5ed94460,2097,"RecordWriteStub"
code-creation,Stub,3,3534,0x1a7d5ed94d00,2088,"RecordWriteStub"
code-creation,Stub,3,3535,0x1a7d5ed955a0,2103,"RecordWriteStub"
code-creation,Stub,3,3535,0x1a7d5ed95e40,2088,"RecordWriteStub"
code-creation,Stub,3,3536,0x1a7d5ed966e0,884,"RecordWriteStub"
code-creation,Stub,3,3537,0x1a7d5ed96ac0,884,"RecordWriteStub"
code-creation,Stub,3,3537,0x1a7d5ed96ea0,2109,"RecordWriteStub"
code-creation,Stub,3,3538,0x1a7d5ed97740,882,"RecordWriteStub"
code-creation,Stub,3,3539,0x1a7d5ed97b20,207,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,3540,0x1a7d5ed97c60,235,"NumberToStringStub"
code-creation,Stub,3,3541,0x1a7d5ed97dc0,2125,"RecordWriteStub"
code-creation,Stub,3,3541,0x1a7d5ed98680,2142,"RecordWriteStub"
code-creation,Stub,3,3542,0x1a7d5ed98f40,884,"RecordWriteStub"
code-creation,Stub,3,3543,0x1a7d5ed99320,2104,"RecordWriteStub"
code-creation,Stub,3,3544,0x1a7d5ed99bc0,2088,"RecordWriteStub"
code-creation,Stub,3,3544,0x1a7d5ed9a460,251,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,3545,0x1a7d5ed9a5c0,2087,"RecordWriteStub"
code-creation,Stub,3,3546,0x1a7d5ed9ae60,87,"DoubleToIStub"
code-creation,Stub,3,3547,0x1a7d5ed9af20,2076,"RecordWriteStub"
code-creation,Stub,3,3547,0x1a7d5ed9b7a0,2142,"RecordWriteStub"
code-creation,Stub,3,3548,0x1a7d5ed9c060,199,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,3549,0x1a7d5ed9c1a0,110,"InternalArrayConstructorStub"
code-creation,Stub,3,3549,0x1a7d5ed9c280,199,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,3550,0x1a7d5ed9c3c0,319,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,3,3551,0x1a7d5ed9c560,27,"ArrayNArgumentsConstructorStub"
code-creation,Stub,3,3552,0x1a7d5ed9c5e0,2084,"RecordWriteStub"
code-creation,Stub,3,3552,0x1a7d5ed9ce80,2126,"RecordWriteStub"
code-creation,Stub,3,3553,0x1a7d5ed9d740,2076,"RecordWriteStub"
code-creation,Stub,3,3554,0x1a7d5ed9dfc0,2088,"RecordWriteStub"
code-creation,Stub,3,3555,0x1a7d5ed9e860,2099,"RecordWriteStub"
code-creation,Stub,3,3556,0x1a7d5ed9f100,2084,"RecordWriteStub"
code-creation,Stub,3,3557,0x1a7d5ed9f9a0,2151,"RecordWriteStub"
code-creation,Stub,3,3557,0x1a7d5eda0280,2087,"RecordWriteStub"
code-creation,Stub,3,3558,0x1a7d5eda0b20,2072,"RecordWriteStub"
code-creation,Stub,3,3559,0x1a7d5eda13a0,363,"ArraySingleArgumentConstructorStub"
code-creation,Handler,4,3560,0x1a7d5eda1580,612,"An IC handler from the snapshot"
code-creation,Stub,3,3561,0x1a7d5eda1860,2126,"RecordWriteStub"
code-creation,Handler,4,3561,0x1a7d5eda2120,180,"An IC handler from the snapshot"
code-creation,Stub,3,3562,0x1a7d5eda2240,2088,"RecordWriteStub"
code-creation,Handler,4,3563,0x1a7d5eda2ae0,164,"An IC handler from the snapshot"
code-creation,Stub,3,3564,0x1a7d5eda2c00,3146,"SubStringStub"
code-creation,Stub,3,3564,0x1a7d5eda38c0,269,"CEntryStub"
code-creation,Stub,3,3565,0x1a7d5eda3a40,2106,"RecordWriteStub"
code-creation,Stub,3,3566,0x1a7d5eda42e0,2103,"RecordWriteStub"
code-creation,Stub,3,3566,0x1a7d5eda4b80,2110,"RecordWriteStub"
code-creation,Stub,3,3567,0x1a7d5eda5420,882,"RecordWriteStub"
code-creation,Stub,3,3568,0x1a7d5eda5800,2084,"RecordWriteStub"
code-creation,Stub,3,3569,0x1a7d5eda60a0,2072,"RecordWriteStub"
code-creation,Stub,3,3570,0x1a7d5eda6920,2106,"RecordWriteStub"
code-creation,Stub,3,3570,0x1a7d5eda71c0,2126,"RecordWriteStub"
code-creation,Stub,3,3571,0x1a7d5eda7a80,2113,"RecordWriteStub"
code-creation,Stub,3,3572,0x1a7d5eda8340,463,"StringAddStub"
code-creation,Builtin,5,3572,0x1a7d5eda8580,190,"NonPrimitiveToPrimitive_Default"
code-creation,Builtin,5,3573,0x1a7d5eda86a0,123,"Call_ReceiverIsNotNullOrUndefined"
code-creation,Builtin,5,3574,0x1a7d5eda8780,260,"OrdinaryToPrimitive_Number"
code-creation,Stub,3,3575,0x1a7d5eda8900,2117,"RecordWriteStub"
code-creation,Stub,3,3575,0x1a7d5eda91c0,2142,"RecordWriteStub"
code-creation,Stub,3,3576,0x1a7d5eda9a80,2100,"RecordWriteStub"
code-creation,Stub,3,3577,0x1a7d5edaa320,2117,"RecordWriteStub"
code-creation,Stub,3,3593,0x1a7d5edaabe0,251,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,3594,0x1a7d5edaad40,2130,"RecordWriteStub"
code-creation,Stub,3,3595,0x1a7d5edab600,375,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,3596,0x1a7d5edab7e0,2076,"RecordWriteStub"
code-creation,Stub,3,3596,0x1a7d5edac060,2142,"RecordWriteStub"
code-creation,Stub,3,3597,0x1a7d5edac920,491,"StringAddStub"
code-creation,Stub,3,3598,0x1a7d5edacb80,2088,"RecordWriteStub"
code-creation,Stub,3,3599,0x1a7d5edad420,2125,"RecordWriteStub"
code-creation,Stub,3,3599,0x1a7d5edadce0,2084,"RecordWriteStub"
code-creation,Stub,3,3600,0x1a7d5edae580,215,"ArrayNoArgumentConstructorStub"
code-creation,Handler,4,3601,0x1a7d5edae6c0,636,"An IC handler from the snapshot"
code-creation,Stub,3,3602,0x1a7d5edae9a0,2126,"RecordWriteStub"
